aopalliance;aopalliance;1.0;Public Domain
asm;asm;3.1;INRIA, France Telecom License (2000-2011)
c3p0;c3p0;0.9.1.1;GNU Lesser General Public License
cglib;cglib-nodep;2.2;The Apache Software License, Version 2.0
cglib;cglib;2.2;The Apache Software License, Version 2.0
ch.qos.logback;logback-classic;1.0.13;Eclipse Public License, Version 1.0
ch.qos.logback;logback-classic;1.0.13;GNU Lesser General Public License
ch.qos.logback;logback-core;1.0.13;Eclipse Public License, Version 1.0
ch.qos.logback;logback-core;1.0.13;GNU Lesser General Public License
com.google.code.findbugs;annotations;2.0.1;GNU Lesser Public License
com.google.code.findbugs;jsr305;2.0.1;The Apache Software License, Version 2.0
com.google.guava;guava;14.0.1;The Apache Software License, Version 2.0
com.hybris.cis;hybris-cis-api-avs;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-fraud;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-geolocation;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-payment;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-shared;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-shipping;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-subscription;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-api-tax;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-common;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-geolocation-rest-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-payment-rest-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-rest-common;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-shipping-rest-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.cis;hybris-cis-tax-rest-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-configuration;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-context;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-conversion;5.1.1;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-dto;5.1.1;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-mock;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-rest-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-rest-resources;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-security;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-tenant-rest-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-commons-tenant;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-jersey-client;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-jersey-server;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-logging;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-spring-security;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-spring;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-web;5.1.0;hybris Commercial License, Version 1.0
com.hybris.commons;hybris-deps-zookeeper;5.1.0;hybris Commercial License, Version 1.0
com.hybris.kernel;init-app-api;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;init-app-rest-client;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;init-app;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;jdbc-engine;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-aggregation;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-api;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-cache;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-metadata;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-persistence;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-scheduler;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-service;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-type-system;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;kernel-utils;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.kernel;mongodb-engine;5.1.0.2;hybris Commercial License, Version 1.0
com.hybris.oms;oms-api;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-domain-objects;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-export-api;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-export-facade;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-export-rest-resources;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-export-service;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-facade;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-rest-resources;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-service;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-ui-api;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-ui-facade;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-ui-rest-resources;5.1.0;hybris Commercial License, Version 1.0
com.hybris.oms;oms-ui-service;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-configurationservice-api;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-configurationservice-node-properties;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-configurationservice-node-spi;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-configurationservice-node-zookeeper;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-descriptor;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-registry;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-rest;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-web;5.1.0;hybris Commercial License, Version 1.0
com.hybris.serviceprovider;serviceprovider-zookeeper;5.1.0;hybris Commercial License, Version 1.0
com.hybris.usermanagement;usermanagement-web-authorization;5.1.1;hybris Commercial License, Version 1.0
com.hybris;omsy-api;1.0-SNAPSHOT;hybris Commercial License, Version 1.0
com.hybris;omsy-service;1.0-SNAPSHOT;hybris Commercial License, Version 1.0
com.hybris;omsy-web;1.0-SNAPSHOT;hybris Commercial License, Version 1.0
com.jolbox;bonecp;0.7.1.RELEASE;The Apache Software License, Version 2.0
com.netflix.curator;curator-client;1.2.6;The Apache Software License, Version 2.0
com.netflix.curator;curator-framework;1.2.6;The Apache Software License, Version 2.0
com.sun.jersey.contribs;jersey-apache-client;1.13;CDDL 1.1
com.sun.jersey.contribs;jersey-apache-client;1.13;GNU General Public License - Version 2 / CPE
com.sun.jersey.contribs;jersey-multipart;1.13;CDDL 1.1
com.sun.jersey.contribs;jersey-multipart;1.13;GNU General Public License - Version 2 / CPE
